web_page_component,role,function,web_route,frontend_file,api_service_used,backend_endpoint,http_method,request,response,permissions,current_mobile_equivalent,mobile_status,required_mobile_screen_action,web_actions,api_ui_mismatch,backend_source
AccountSettings,Public / shared,response,component/subflow,components/AccountSettings.jsx,services/api.js,/upload/profile-image,POST,"file: UploadFile=File(...), current_user: User=Depends(get_current_user), db: Session=Depends(get_db)",inline,FastAPI authenticated/role dependency; inspect handler,none found,missing,Expose response in the mobile AccountSettings flow,"fileInputRef.current?.click()}
                    className=""mt-3 inline-flex items-center gap-2 text-sm text-accent font-medium hover:text-accent-dark transition-colors""
                  >
                    Change Photo | ← Back to Dashboard",,D:\Projects\sahajomy-platform\backend\app\api\v1\upload.py:87
AccountSettings,Public / shared,instead,component/subflow,components/AccountSettings.jsx,services/api.js,/auth/me/profile-image,PUT,"body: ProfileImageUpdateRequest, current_user: User=Depends(get_current_user_from_auth_deps), db: Session=Depends(get_db)",inline,FastAPI authenticated/role dependency; inspect handler,none found,missing,Expose instead in the mobile AccountSettings flow,"fileInputRef.current?.click()}
                    className=""mt-3 inline-flex items-center gap-2 text-sm text-accent font-medium hover:text-accent-dark transition-colors""
                  >
                    Change Photo | ← Back to Dashboard",,D:\Projects\sahajomy-platform\backend\app\api\v1\auth.py:296
AccountSettings,Public / shared,updatedUser,component/subflow,components/AccountSettings.jsx,services/api.js,/auth/me/profile-image,PUT,"body: ProfileImageUpdateRequest, current_user: User=Depends(get_current_user_from_auth_deps), db: Session=Depends(get_db)",inline,FastAPI authenticated/role dependency; inspect handler,none found,missing,Expose updatedUser in the mobile AccountSettings flow,"fileInputRef.current?.click()}
                    className=""mt-3 inline-flex items-center gap-2 text-sm text-accent font-medium hover:text-accent-dark transition-colors""
                  >
                    Change Photo | ← Back to Dashboard",,D:\Projects\sahajomy-platform\backend\app\api\v1\auth.py:296
ActivityThread,Public / shared,res,component/subflow,components/interactions/ActivityThread.jsx,services/api.js,/interactions,GET,"target_type: TargetType=TARGET_TYPE_QUERY, target_id: str=TARGET_ID_QUERY, db: Session=DB_SESSION_DEP, current_user: User=ANY_AUTH_USER_DEP",inline,FastAPI authenticated/role dependency; inspect handler,none found,missing,Expose res in the mobile ActivityThread flow,Cancel,,D:\Projects\sahajomy-platform\backend\app\api\v1\interactions.py:270
ActivityThread,Public / shared,submitTarget,component/subflow,components/interactions/ActivityThread.jsx,services/api.js,/interactions,POST,"body: InteractionCreateRequest, db: Session=DB_SESSION_DEP, current_user: User=ANY_AUTH_USER_DEP",inline,FastAPI authenticated/role dependency; inspect handler,none found,missing,Expose submitTarget in the mobile ActivityThread flow,Cancel,,D:\Projects\sahajomy-platform\backend\app\api\v1\interactions.py:330
ActivityThread,Public / shared,POST /interactions/{id}/reaction,component/subflow,components/interactions/ActivityThread.jsx,services/api.js,/interactions/{id}/reaction,POST,"interaction_id: str, body: InteractionReactionRequest, db: Session=DB_SESSION_DEP, current_user: User=ANY_AUTH_USER_DEP",inline,FastAPI authenticated/role dependency; inspect handler,none found,missing,Expose post in the mobile ActivityThread flow,Cancel,,D:\Projects\sahajomy-platform\backend\app\api\v1\interactions.py:418
NotificationBell,Public / shared,res,component/subflow,components/notifications/NotificationBell.jsx,services/api.js,/notifications,GET,"current_user: User=Depends(get_current_user), db: Session=Depends(get_db), skip: int=0, limit: int=100",inline,FastAPI authenticated/role dependency; inspect handler,none found,missing,Expose res in the mobile NotificationBell flow,Mark all as read,,D:\Projects\sahajomy-platform\backend\app\api\v1\notifications.py:30
NotificationBell,Public / shared,markAsRead,component/subflow,components/notifications/NotificationBell.jsx,services/api.js,/notifications/{id}/read,PATCH,"notification_id: str, db: Session=Depends(get_db), current_user: User=Depends(get_current_user)",inline,FastAPI authenticated/role dependency; inspect handler,none found,missing,Expose markAsRead in the mobile NotificationBell flow,Mark all as read,,D:\Projects\sahajomy-platform\backend\app\api\v1\notifications.py:100
NotificationBell,Public / shared,markAllAsRead,component/subflow,components/notifications/NotificationBell.jsx,services/api.js,/notifications/mark-all-read,PUT,"db: Session=Depends(get_db), current_user: User=Depends(get_current_user)",inline,FastAPI authenticated/role dependency; inspect handler,none found,missing,Expose markAllAsRead in the mobile NotificationBell flow,Mark all as read,,D:\Projects\sahajomy-platform\backend\app\api\v1\notifications.py:109
CustomerTracker,Public / shared,fetchRecentShipments,component/subflow,components/tracking/CustomerTracker.jsx,services/api.js,/tracking/customer/sea-bookings,GET,"db: Session=DB_SESSION, current_user: User=CUSTOMER_USER",inline,FastAPI authenticated/role dependency; inspect handler,none found,missing,Expose fetchRecentShipments in the mobile CustomerTracker flow,,,D:\Projects\sahajomy-platform\backend\app\api\v1\tracking.py:178
CustomerTracker,Public / shared,fetchRecentShipments,component/subflow,components/tracking/CustomerTracker.jsx,services/api.js,/tracking/customer/bookings,GET,"db: Session=DB_SESSION, current_user: User=CUSTOMER_USER",inline,FastAPI authenticated/role dependency; inspect handler,API call exists without verified page/action parity,partially implemented,Expose fetchRecentShipments in the mobile CustomerTracker flow,,,D:\Projects\sahajomy-platform\backend\app\api\v1\tracking.py:204
SmartWarehouseOperations,Public / shared,refresh,component/subflow,components/warehouse/SmartWarehouseOperations.jsx,services/api.js,/cargo/warehouse-mobile/parcels,GET,"status: str | None=None, customer_id: UUID | None=None, db: Session=Depends(get_db), ctx: WorkspaceContext=Depends(require_permission('parcel.view'))",inline,parcel.view,none found,missing,Expose refresh in the mobile SmartWarehouseOperations flow,Assign | Start session | Verify load,,D:\Projects\sahajomy-platform\backend\app\api\v1\smartphone_warehouse.py:186
SmartWarehouseOperations,Public / shared,refresh,component/subflow,components/warehouse/SmartWarehouseOperations.jsx,services/api.js,/cargo/warehouse-mobile/customers,GET,"db: Session=Depends(get_db), ctx: WorkspaceContext=Depends(require_permission('parcel.view'))",inline,parcel.view,none found,missing,Expose refresh in the mobile SmartWarehouseOperations flow,Assign | Start session | Verify load,,D:\Projects\sahajomy-platform\backend\app\api\v1\smartphone_warehouse.py:156
